Trap,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,sessionCol,TrailType,CameraType
PS21,CamA,-32.43413,152.51566,6/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS21,CamB,-32.43413,152.51566,6/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS23,CamA,-32.570626,152.283255,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS23,CamB,-32.570626,152.283255,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS24,CamA,-32.610825,152.216843,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS24,CamB,-32.610825,152.216843,8/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS25,CamA,-32.498115,152.309451,5/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS25,CamB,-32.498115,152.309451,5/12/2022,01/02/2023,,,,,4,4wdtrack,Trail
PS27,CamA,-32.399646,152.470765,7/12/2022,01/02/2023,,,,,4,Unsealedroad,Trail
PS27,CamB,-32.399646,152.470765,7/12/2022,01/02/2023,,,,,4,Unsealedroad,Trail
PS1,CamA,-32.679857,152.183854,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS1,CamB,-32.679857,152.183854,02/02/2023,01/04/2023,,,,,5,Walktrail,Trail
PS2,CamA,-32.657374,152.185021,02/02/2023,01/04/2023,,,,,5,4wdtrack,Trail
